I consider myself:,Country,Response ID,Time Started,Date Submitted,Status,Language,Link Name,WiFi Router:Check all the internet connected devices you currently own:,Laptop computer:Check all the internet connected devices you currently own:,Smart phone:Check all the internet connected devices you currently own:,Smart TV:Check all the internet connected devices you currently own:,Activity Tracker (ex: Fitbit or Apple Watch):Check all the internet connected devices you currently own:,"Smarthome Hub (ex. Amazon Echo, Google Alexa):Check all the internet connected devices you currently own:",Car that connects to the internet:Check all the internet connected devices you currently own:,Smart Thermostat (ex: Nest):Check all the internet connected devices you currently own:,"Smart Appliance (ex. Coffeemaker, Refrigerator, Oven, Fridge):Check all the internet connected devices you currently own:",Smart Door Locks (ex. Door locks for your home you can open via bluetooth):Check all the internet connected devices you currently own:,"Smart Lighting (ex. Connected lighting switches, dimmers, or bulbs):Check all the internet connected devices you currently own:",Thinking about a future in which so much of your world is connected to the internet leaves you feeling:,What are you most excited about as we move toward a more digitally connected future?,What is your biggest fear as we move towards a more connected future?,"Who is most responsible for protecting the online safety, privacy, and security of the connected apps and devices you own?","Who do you most trust to help you learn how to protect your safety, security and privacy online?",Price:You‰Ûªre planning on buying your next cool new tech toy. Maybe it‰Ûªs a smart TV or a new smartphone. åÊTake a look at the items below and arrange them in order of importance as you make that purchase.,Features:You‰Ûªre planning on buying your next cool new tech toy. Maybe it‰Ûªs a smart TV or a new smartphone. åÊTake a look at the items below and arrange them in order of importance as you make that purchase.,Safety:You‰Ûªre planning on buying your next cool new tech toy. Maybe it‰Ûªs a smart TV or a new smartphone. åÊTake a look at the items below and arrange them in order of importance as you make that purchase.,Security:You‰Ûªre planning on buying your next cool new tech toy. Maybe it‰Ûªs a smart TV or a new smartphone. åÊTake a look at the items below and arrange them in order of importance as you make that purchase.,Privacy:You‰Ûªre planning on buying your next cool new tech toy. Maybe it‰Ûªs a smart TV or a new smartphone. åÊTake a look at the items below and arrange them in order of importance as you make that purchase.,Reliability:You‰Ûªre planning on buying your next cool new tech toy. Maybe it‰Ûªs a smart TV or a new smartphone. åÊTake a look at the items below and arrange them in order of importance as you make that purchase.,User Reviews:You‰Ûªre planning on buying your next cool new tech toy. Maybe it‰Ûªs a smart TV or a new smartphone. åÊTake a look at the items below and arrange them in order of importance as you make that purchase.,Expert Recommendation:You‰Ûªre planning on buying your next cool new tech toy. Maybe it‰Ûªs a smart TV or a new smartphone. åÊTake a look at the items below and arrange them in order of importance as you make that purchase.,Friend or Family Recommendation:You‰Ûªre planning on buying your next cool new tech toy. Maybe it‰Ûªs a smart TV or a new smartphone. åÊTake a look at the items below and arrange them in order of importance as you make that purchase.,Convenience:You‰Ûªre planning on buying your next cool new tech toy. Maybe it‰Ûªs a smart TV or a new smartphone. åÊTake a look at the items below and arrange them in order of importance as you make that purchase.,IoT:Check all the terms below that you could explain to a friend:,Connected Devices:Check all the terms below that you could explain to a friend:,Botnet:Check all the terms below that you could explain to a friend:,Blockchain:Check all the terms below that you could explain to a friend:,RFID:Check all the terms below that you could explain to a friend:,DDOS:Check all the terms below that you could explain to a friend:,Zero Day:Check all the terms below that you could explain to a friend:,VPN:Check all the terms below that you could explain to a friend:,TOR:Check all the terms below that you could explain to a friend:,I don‰Ûªt know what any of these things are:Check all the terms below that you could explain to a friend:,Country or Region (optional)
Average User:   I know enough to get by.,Lao People's Democratic Republic,4,4,4,4,4,4,4,2,2,0,0,0,0,0,0,0,0,4,4,4,4,4,3,3,1,3,2,2,2,3,1,3,0,2,2,0,0,0,0,0,0,1,3
Average User:   I know enough to get by.,Latvia,8,8,8,8,8,8,6,6,5,2,0,0,0,0,0,0,0,8,8,5,6,6,4,4,4,4,5,4,4,4,4,4,0,4,1,1,0,0,0,3,0,2,6
Average User:   I know enough to get by.,Lebanon,12,12,12,12,12,12,9,12,10,1,0,0,0,0,0,0,0,12,12,11,11,12,9,9,9,9,10,9,8,9,8,8,0,5,1,0,0,0,0,3,2,6,8
Average User:   I know enough to get by.,Lesotho,2,2,2,2,2,2,1,1,2,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1
Average User:   I know enough to get by.,Liberia,2,2,2,2,2,2,0,2,2,1,0,0,0,0,0,0,0,2,2,2,2,2,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2
Average User:   I know enough to get by.,Liechtenstein,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,0,1,1,0,1
Average User:   I know enough to get by.,Lithuania,11,11,11,11,11,11,10,10,11,5,5,0,1,0,2,0,1,11,11,11,11,11,9,8,8,8,9,8,9,9,8,8,3,9,3,1,1,5,1,8,3,2,11
Average User:   I know enough to get by.,Luxembourg,94,94,94,94,94,94,76,84,80,25,2,2,4,2,6,0,3,93,93,91,90,89,73,66,61,63,65,72,57,60,61,70,7,66,11,8,11,8,2,26,13,18,70
Average User:   I know enough to get by.,Macedonia,4,4,4,4,4,4,3,4,3,1,0,0,0,0,0,0,0,4,4,4,4,4,2,2,2,2,2,1,1,2,1,1,0,2,1,0,1,0,1,1,0,2,4
Average User:   I know enough to get by.,Madagascar,83,83,83,83,83,83,35,69,67,17,1,1,2,0,1,0,0,80,78,79,78,79,68,64,64,65,63,63,61,63,61,65,6,58,7,4,5,5,4,33,10,18,71
Average User:   I know enough to get by.,Malawi,6,6,6,6,6,6,4,4,5,1,0,0,0,0,0,0,0,6,6,6,6,6,3,3,3,3,3,3,2,3,2,3,0,3,0,0,0,0,0,2,0,1,5
Average User:   I know enough to get by.,Malaysia,114,114,114,114,114,114,87,97,101,28,12,3,8,1,11,5,6,112,112,111,110,110,99,99,100,98,95,101,92,91,87,94,15,77,9,11,32,13,4,51,13,26,104
Average User:   I know enough to get by.,Maldives,2,2,2,2,2,2,2,2,1,1,1,0,0,0,1,1,0,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,0,0,1,1,0,1,0,0,1
Average User:   I know enough to get by.,Mali,23,23,23,23,23,23,9,20,11,6,0,1,0,0,2,1,2,21,21,20,20,21,9,8,8,8,10,8,7,8,7,7,1,16,3,1,1,1,2,7,2,4,19
Average User:   I know enough to get by.,Malta,17,17,17,17,17,17,11,15,10,5,1,1,0,0,6,0,3,16,16,16,16,16,11,11,10,11,11,11,11,10,11,10,1,6,1,1,1,2,1,5,1,5,13
Average User:   I know enough to get by.,Marshall Islands,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
Average User:   I know enough to get by.,Martinique,46,46,46,46,46,46,31,40,38,10,4,4,4,1,3,0,2,45,44,45,45,44,34,36,33,34,34,32,30,29,31,36,2,36,5,2,4,3,1,16,9,8,35
Average User:   I know enough to get by.,Mauritania,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
Average User:   I know enough to get by.,Mauritius,28,28,28,28,28,28,23,25,23,11,2,1,2,1,1,0,1,28,28,28,27,28,22,20,20,19,19,20,19,18,20,21,8,20,8,2,4,7,3,11,8,6,27
Average User:   I know enough to get by.,Mayotte,13,13,13,13,13,13,6,9,10,0,1,2,0,0,0,0,0,13,13,13,13,13,10,10,9,9,9,9,10,9,10,9,1,10,1,0,0,0,2,4,1,3,12
Average User:   I know enough to get by.,Mexico,3103,3103,3103,3103,3103,3103,2239,2342,2684,1520,157,176,165,36,207,54,113,3006,3011,2974,2958,2945,2472,2389,2155,1984,2182,2048,2100,2189,2025,2171,264,2125,230,190,171,323,292,1120,540,683,2629
Average User:   I know enough to get by.,"Moldova, Republic of",4,4,4,4,4,4,3,3,3,2,0,0,0,0,0,0,0,4,4,4,3,3,3,2,3,2,3,2,3,3,2,2,0,1,0,0,0,0,0,1,0,1,3
Average User:   I know enough to get by.,Monaco,9,9,9,9,9,9,5,9,7,1,1,1,0,1,3,0,1,9,9,9,9,9,8,8,6,7,6,7,7,7,6,8,0,8,1,1,0,1,0,3,1,1,7
Average User:   I know enough to get by.,Mongolia,5,5,5,5,5,5,3,3,3,2,0,0,0,0,0,0,0,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,0,1,0,0,0,0,1,1,0,3,4
Average User:   I know enough to get by.,Montenegro,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,0,0,1,2
Average User:   I know enough to get by.,Morocco,234,234,234,234,234,234,184,191,185,93,13,10,11,2,22,5,11,222,217,217,217,217,158,150,147,157,152,148,139,141,138,151,12,156,12,16,13,23,16,74,31,53,181
Average User:   I know enough to get by.,Mozambique,16,16,16,16,16,16,7,10,12,2,3,0,0,0,0,0,0,15,15,15,15,15,10,9,10,9,9,9,9,9,9,10,1,12,0,0,0,1,0,4,1,4,15
Average User:   I know enough to get by.,Myanmar,27,27,27,27,27,27,12,26,21,3,1,1,1,1,2,1,1,27,27,27,27,26,21,21,21,19,21,20,18,17,15,18,3,17,1,1,2,3,3,8,6,7,27
Average User:   I know enough to get by.,Namibia,12,12,12,12,12,12,9,9,7,3,0,0,1,0,2,0,1,12,12,11,12,12,10,10,10,10,10,10,10,10,10,10,3,9,0,1,1,3,0,5,1,2,11
Average User:   I know enough to get by.,Nepal,37,37,37,37,37,37,32,28,23,6,1,2,0,1,5,1,2,34,34,33,31,32,22,23,23,22,18,22,18,18,17,19,5,23,1,2,0,4,0,11,5,8,31
Average User:   I know enough to get by.,Netherlands,225,225,225,225,225,225,195,180,180,88,14,6,14,11,13,2,14,221,219,218,216,218,181,176,173,182,174,183,166,166,161,171,41,167,60,26,39,74,14,109,72,30,195
Average User:   I know enough to get by.,New Caledonia,75,75,75,75,75,75,59,67,61,19,5,3,3,1,7,1,3,73,70,72,73,73,65,62,60,61,62,61,56,56,58,64,2,58,4,3,11,1,3,22,12,13,54
Average User:   I know enough to get by.,New Zealand,314,314,314,314,314,314,264,243,222,109,20,2,22,3,12,4,7,310,309,309,306,301,255,245,244,252,245,252,237,240,230,242,30,213,49,23,53,35,19,110,34,82,288
Average User:   I know enough to get by.,Nicaragua,88,88,88,88,88,88,73,65,75,23,2,2,0,0,4,0,1,86,88,88,87,88,65,62,51,54,56,55,56,55,53,59,3,60,4,4,0,7,8,37,16,22,78
Average User:   I know enough to get by.,Niger,13,13,13,13,13,13,6,13,8,0,0,1,0,0,0,0,0,13,13,13,13,13,6,6,6,5,7,5,4,4,3,6,1,8,0,1,1,0,0,3,0,5,12
Average User:   I know enough to get by.,Nigeria,83,83,83,83,83,83,39,69,67,18,5,4,3,1,5,1,2,78,78,78,78,78,58,56,55,56,54,57,48,50,47,53,9,56,4,13,4,2,4,40,7,15,73
Average User:   I know enough to get by.,Northern Mariana Islands,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1
Average User:   I know enough to get by.,Norway,66,66,66,66,66,66,56,57,57,26,4,2,10,0,4,2,2,65,64,66,65,65,59,58,55,58,57,60,53,53,50,51,14,44,16,12,15,19,10,35,22,9,63
Average User:   I know enough to get by.,Oman,6,6,6,6,6,6,5,5,5,2,1,0,0,0,1,0,0,6,6,5,6,6,4,4,4,4,4,4,4,3,2,5,0,4,0,1,1,2,0,4,1,1,6
Average User:   I know enough to get by.,Pakistan,98,98,98,98,98,98,81,80,81,24,9,2,5,3,13,3,7,94,95,94,92,95,63,60,58,60,60,59,53,52,53,55,20,65,12,10,18,14,7,49,23,23,85
Average User:   I know enough to get by.,Palestinian Territory,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Average User:   I know enough to get by.,Panama,64,64,64,64,64,64,52,48,56,21,2,2,4,1,3,1,3,59,61,61,61,60,51,48,42,35,40,41,39,43,36,44,6,45,6,2,3,4,4,23,8,11,56
Average User:   I know enough to get by.,Papua New Guinea,5,5,5,5,5,5,2,4,4,0,0,0,0,0,2,0,1,5,5,5,5,5,5,5,4,5,4,5,5,4,3,5,0,3,0,0,0,0,0,2,0,2,5
Average User:   I know enough to get by.,Paraguay,129,129,129,129,129,129,101,90,109,37,2,4,6,0,9,4,8,126,127,123,123,123,99,98,87,74,88,83,87,84,81,92,5,87,9,9,4,14,7,48,15,25,106
Average User:   I know enough to get by.,Peru,387,387,387,387,387,387,338,274,305,186,10,20,16,6,25,7,18,367,372,369,362,364,293,275,242,232,251,230,250,251,225,246,25,256,23,29,15,48,39,142,76,78,328
Average User:   I know enough to get by.,Philippines,187,187,187,187,187,187,144,149,151,56,14,7,11,3,22,3,9,179,177,177,176,177,133,125,127,125,127,132,115,114,112,127,26,113,20,9,44,30,9,68,30,47,154
Average User:   I know enough to get by.,Poland,27,27,27,27,27,27,25,24,24,10,3,1,6,1,2,0,0,27,27,27,27,27,20,22,22,22,22,22,21,21,19,21,6,22,5,5,2,7,2,9,9,5,25
Average User:   I know enough to get by.,Portugal,102,102,102,102,102,102,86,85,78,31,5,0,9,0,6,0,4,102,101,102,100,102,88,87,85,88,88,87,81,82,82,84,11,75,10,8,8,11,9,53,17,16,85
Average User:   I know enough to get by.,Puerto Rico,47,47,47,47,47,47,41,36,42,25,5,4,3,1,2,0,0,45,47,45,44,46,33,28,28,24,29,28,25,29,23,29,3,27,1,2,1,6,3,14,7,16,32
Average User:   I know enough to get by.,Qatar,10,10,10,10,10,10,7,9,10,3,2,0,1,0,0,0,0,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,0,8,0,0,1,0,1,4,1,2,8
Average User:   I know enough to get by.,Reunion,172,172,172,172,172,172,122,158,148,37,11,8,9,0,16,1,6,170,169,170,169,166,145,141,129,133,136,137,125,125,122,143,10,138,13,12,17,20,9,62,29,22,130
Average User:   I know enough to get by.,Romania,82,82,82,82,82,82,68,68,67,23,5,1,3,1,6,0,1,80,81,81,80,79,62,60,50,55,54,57,54,55,49,53,10,51,10,8,8,20,8,37,22,14,64
Average User:   I know enough to get by.,Russian Federation,31,31,31,31,31,31,25,23,27,2,4,0,2,0,3,0,2,30,31,30,30,31,25,25,22,21,22,23,24,22,21,22,8,21,13,9,13,15,8,18,12,4,27
Average User:   I know enough to get by.,Rwanda,6,6,6,6,6,6,5,6,5,1,1,0,0,0,1,0,0,6,6,6,6,6,5,5,5,5,5,5,4,4,4,5,1,5,0,0,1,0,0,2,2,1,6
Average User:   I know enough to get by.,Saint Kitts and Nevis,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1
Average User:   I know enough to get by.,Saint Lucia,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
Average User:   I know enough to get by.,Saint Martin,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
Average User:   I know enough to get by.,Saint Pierre and Miquelon,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1
Average User:   I know enough to get by.,Saint Vincent and the Grenadines,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1
Average User:   I know enough to get by.,San Marino,6,6,6,6,6,6,6,6,6,3,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,5,5,5,6,1,5,1,0,0,0,0,3,1,1,3
Average User:   I know enough to get by.,Sao Tome and Principe,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Average User:   I know enough to get by.,Saudi Arabia,21,21,21,21,21,21,17,18,18,6,2,0,0,0,2,0,1,20,20,19,20,20,16,15,15,14,16,15,15,13,11,16,3,15,2,1,1,4,0,12,3,4,14
Average User:   I know enough to get by.,Senegal,60,60,60,60,60,60,33,53,49,16,4,3,1,0,6,1,2,59,56,58,55,54,39,38,36,38,39,38,35,35,35,39,3,42,2,2,0,1,6,18,6,13,51
Average User:   I know enough to get by.,Serbia,41,41,41,41,41,41,37,35,37,13,4,1,2,0,1,2,1,41,41,41,41,40,36,33,34,32,32,32,31,30,32,33,9,32,8,6,6,7,4,18,15,7,31
Average User:   I know enough to get by.,Seychelles,3,3,3,3,3,3,2,2,3,1,1,1,0,0,1,0,1,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,0,2
Average User:   I know enough to get by.,Singapore,59,59,59,59,59,59,50,50,55,32,9,4,4,0,3,0,1,59,58,57,57,57,53,54,52,54,52,55,52,52,50,52,14,43,8,9,15,12,2,33,11,8,52
Average User:   I know enough to get by.,Slovakia,14,14,14,14,14,14,11,11,10,5,1,0,0,1,0,0,0,14,14,14,14,14,13,12,13,12,12,14,11,10,10,12,4,9,2,2,4,2,0,4,1,3,13
Average User:   I know enough to get by.,Slovenia,15,15,15,15,15,15,14,13,15,5,2,0,1,0,0,0,0,14,14,14,14,14,12,12,12,12,12,12,12,12,12,13,2,11,0,2,2,2,0,3,1,2,13
Average User:   I know enough to get by.,Somalia,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
Average User:   I know enough to get by.,South Africa,167,167,167,167,167,167,131,138,151,41,15,2,4,3,12,2,4,166,165,164,163,162,127,127,119,127,122,128,117,120,121,123,23,112,21,20,23,22,11,65,20,41,153
Average User:   I know enough to get by.,Spain,2491,2491,2491,2491,2491,2491,2339,2074,2188,936,176,55,122,53,111,24,51,2450,2450,2434,2420,2404,1984,1926,1738,1603,1815,1728,1772,1808,1713,1799,235,1745,217,169,176,311,173,870,521,560,2027
Average User:   I know enough to get by.,Sri Lanka,36,36,36,36,36,36,33,31,30,9,1,1,1,1,2,0,2,36,36,34,33,35,28,25,27,26,24,28,25,22,21,24,8,20,5,2,4,2,1,10,1,12,32
Average User:   I know enough to get by.,Sudan,6,6,6,6,6,6,2,2,5,0,0,0,0,0,0,0,0,6,6,6,6,6,4,3,4,4,3,4,4,4,4,4,1,2,1,1,1,1,2,2,1,4,5
Average User:   I know enough to get by.,Swaziland,2,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,0,0,0,0,0,0,0,2
Average User:   I know enough to get by.,Sweden,75,75,75,75,75,75,70,66,65,25,5,1,6,3,3,0,2,75,75,75,75,73,63,65,62,61,64,66,60,61,59,61,16,59,17,14,17,16,6,43,29,10,66
Average User:   I know enough to get by.,Switzerland,1546,1546,1546,1546,1546,1546,1354,1273,1265,518,133,25,126,17,127,11,74,1520,1528,1529,1521,1508,1260,1242,1162,1209,1205,1253,1126,1145,1133,1227,115,1081,157,175,205,139,66,489,294,325,1266
Average User:   I know enough to get by.,Taiwan,11,11,11,11,11,11,9,10,9,5,3,1,2,1,2,2,3,11,11,11,11,11,9,8,9,8,9,9,8,9,9,9,7,10,3,5,6,2,1,7,2,0,11
Average User:   I know enough to get by.,"Tanzania, United Republic of",21,21,21,21,21,21,10,19,19,5,0,1,2,0,2,0,0,20,19,20,18,20,14,14,14,14,14,14,13,13,14,14,2,13,1,1,1,2,1,7,2,5,20
Average User:   I know enough to get by.,Thailand,77,77,77,77,77,77,63,65,62,26,5,3,4,0,4,0,3,76,75,75,75,75,63,64,58,63,60,60,50,49,50,57,14,59,15,10,21,9,5,42,18,9,68
Average User:   I know enough to get by.,Togo,26,26,26,26,26,26,13,21,18,6,0,0,2,0,1,0,0,23,26,26,25,25,18,18,18,18,19,18,17,18,17,17,0,20,1,0,1,3,1,9,2,3,22
Average User:   I know enough to get by.,Tonga,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
Average User:   I know enough to get by.,Trinidad and Tobago,12,12,12,12,12,12,12,11,11,6,0,0,0,0,0,0,0,12,12,12,12,12,11,11,9,11,10,9,10,9,9,9,1,9,1,0,3,1,1,6,2,3,10
Average User:   I know enough to get by.,Tunisia,89,89,89,89,89,89,70,77,63,26,4,2,7,0,6,1,6,82,78,81,81,80,66,61,59,60,62,63,56,56,56,62,9,61,3,6,6,8,4,27,13,12,65
Average User:   I know enough to get by.,Turkey,25,25,25,25,25,25,20,24,19,9,1,0,1,0,2,0,1,24,24,24,22,23,19,16,15,15,13,18,16,14,13,14,4,15,3,0,3,2,1,14,7,5,17
Average User:   I know enough to get by.,Uganda,20,20,20,20,20,20,11,16,16,3,0,0,0,0,1,0,0,19,19,18,19,19,14,14,14,14,14,13,12,12,12,12,4,17,1,0,0,1,1,9,5,2,19
Average User:   I know enough to get by.,Ukraine,13,13,13,13,13,13,11,13,10,5,0,2,1,0,1,0,0,13,13,12,12,12,11,10,11,12,9,10,9,10,10,11,3,8,4,3,4,5,3,6,3,3,10
Average User:   I know enough to get by.,United Arab Emirates,36,36,36,36,36,36,26,32,33,12,6,0,2,1,4,0,3,34,34,35,35,35,29,29,29,27,28,29,27,29,27,28,5,23,2,5,5,6,2,22,4,3,28
Average User:   I know enough to get by.,United Kingdom,2184,2184,2184,2184,2184,2184,1998,1732,1571,864,189,100,163,73,74,5,55,2154,2146,2149,2142,2134,1763,1678,1693,1756,1709,1755,1660,1655,1629,1654,309,1490,323,164,292,275,97,798,317,518,2030
Average User:   I know enough to get by.,United States,9251,9251,9251,9251,9251,9251,7902,7213,6758,3494,1229,626,1180,423,374,123,284,9110,9114,9065,8984,8963,7259,6987,6949,7182,7074,7210,6746,6755,6669,6891,898,5944,1062,452,2411,843,476,2976,930,2519,8543
Average User:   I know enough to get by.,Uruguay,229,229,229,229,229,229,196,177,180,78,5,5,6,8,12,2,13,222,223,222,221,218,170,163,134,126,138,139,146,154,136,147,12,150,14,15,11,20,23,75,38,55,205
Average User:   I know enough to get by.,Uzbekistan,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1
Average User:   I know enough to get by.,Vanuatu,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1
Average User:   I know enough to get by.,Venezuela,801,801,801,801,801,801,699,567,512,123,30,40,21,7,53,11,19,775,780,773,763,769,570,525,462,388,469,425,416,481,418,467,47,507,47,45,26,66,58,257,82,206,714
Average User:   I know enough to get by.,Vietnam,30,30,30,30,30,30,24,24,28,16,3,1,1,0,1,0,0,30,29,30,30,30,25,23,24,23,21,21,19,19,18,23,9,20,6,6,2,8,4,14,8,7,29
Average User:   I know enough to get by.,"Virgin Islands, U.S.",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
Average User:   I know enough to get by.,Yemen,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Average User:   I know enough to get by.,Zambia,12,12,12,12,12,12,8,11,11,3,2,1,2,0,0,0,0,12,12,12,11,12,7,7,7,7,7,7,7,7,7,7,0,6,0,1,0,0,0,3,1,4,11
Average User:   I know enough to get by.,Zimbabwe,21,21,21,21,21,21,12,18,17,4,1,0,0,0,0,0,0,21,21,21,21,20,16,17,17,16,17,16,16,16,15,16,2,16,1,2,0,1,1,11,2,3,19
Luddite:  Technology scares me! I only use it when I have to.,Afghanistan,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1
Luddite:  Technology scares me! I only use it when I have to.,Albania,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1
Luddite:  Technology scares me! I only use it when I have to.,Algeria,88,88,88,88,88,88,44,55,34,16,3,4,4,3,7,3,6,77,72,76,76,74,35,33,33,37,36,33,31,32,31,35,7,30,5,4,5,4,8,14,5,39,65
Luddite:  Technology scares me! I only use it when I have to.,Andorra,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1
Luddite:  Technology scares me! I only use it when I have to.,Angola,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Luddite:  Technology scares me! I only use it when I have to.,Anonymous Proxy,2,2,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,2,2,2,2,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,2
Luddite:  Technology scares me! I only use it when I have to.,Argentina,129,129,129,129,129,129,103,61,67,42,5,4,8,3,7,4,5,122,122,120,118,118,69,66,61,54,67,63,56,59,62,64,5,54,3,4,3,5,6,15,9,56,101
Luddite:  Technology scares me! I only use it when I have to.,Aruba,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Luddite:  Technology scares me! I only use it when I have to.,Asia/Pacific Region,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1
Luddite:  Technology scares me! I only use it when I have to.,Australia,77,77,77,77,77,77,43,56,43,14,4,0,7,0,4,0,0,75,76,75,75,73,58,54,56,57,57,59,51,51,49,54,0,24,2,0,6,5,0,14,2,44,71
Luddite:  Technology scares me! I only use it when I have to.,Austria,47,47,47,47,47,47,25,28,27,3,1,0,1,0,4,2,1,46,46,44,45,44,25,27,23,23,22,26,21,20,22,20,3,18,4,2,4,3,3,4,7,27,33
Luddite:  Technology scares me! I only use it when I have to.,Bangladesh,26,26,26,26,26,26,17,11,11,2,1,1,1,1,0,1,1,17,20,17,20,19,10,8,10,11,11,8,10,9,8,10,2,11,3,2,2,1,2,4,1,6,19
Luddite:  Technology scares me! I only use it when I have to.,Barbados,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1
Luddite:  Technology scares me! I only use it when I have to.,Belarus,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
Luddite:  Technology scares me! I only use it when I have to.,Belgium,107,107,107,107,107,107,64,78,45,21,2,3,6,1,8,3,7,104,103,101,104,103,70,65,65,65,70,67,59,59,62,69,2,53,3,4,10,10,2,14,7,46,85
